Wed Aug 16 14:33:13 2017    profile.cprof

         133655314 function calls (133649116 primitive calls) in 433.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-59>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-41>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-53>:1(_not_implemented_for)
      112    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 <decorator-gen-114>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-118>:1(_not_implemented_for)
      116    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 <decorator-gen-117>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-181>:1(_open_file)
       18    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 core.py:991(__init__)
      420    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 core.py:115(Context)
        1    0.000    0.000    0.000    0.000 <decorator-gen-81>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-17>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-47>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-71>:1(_not_implemented_for)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 preflowpush.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-22>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-95>:1(_not_implemented_for)
        3    0.000    0.000    0.000    0.000 db_builder.py:570(range_fields)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-55>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-187>:1(_open_file)
        1    0.000    0.000    0.000    0.000 <decorator-gen-153>:1(_not_implemented_for)
      270    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 <decorator-gen-63>:1(_not_implemented_for)
       40    0.000    0.000    0.000    0.000 re.py:208(escape)
        1    0.000    0.000    0.000    0.000 <decorator-gen-37>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-173>:1(_open_file)
        1    0.000    0.000    0.000    0.000 <decorator-gen-31>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-99>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-21>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-75>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-89>:1(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 os.py:35(_get_exports_list)
       20    0.000    0.000    0.000    0.000 app.py:51(setupmethod)
      2/1    0.000    0.000    0.000    0.000 pkgutil.py:317(get_filename)
        1    0.000    0.000    0.000    0.000 extras.py:1425(MAxisConcatenator)
        1    0.000    0.000    0.000    0.000 <decorator-gen-67>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-195>:1(_open_file)
        1    0.000    0.000    0.000    0.000 <decorator-gen-51>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-83>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-97>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-45>:1(_not_implemented_for)
        2    0.000    0.000    0.000    0.000 app.py:1752(create_url_adapter)
        1    0.000    0.000    0.000    0.000 <decorator-gen-91>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-57>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-49>:1(_not_implemented_for)
       20    0.000    0.000    0.000    0.000 compiler.py:63(optimizeconst)
      211    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      118    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       23    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 <decorator-gen-79>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 ctx.py:26(_AppCtxGlobals)
       77    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 <decorator-gen-65>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 exceptions.py:606(_find_exceptions)
        1    0.000    0.000    0.000    0.000 json_builder.py:1(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 ordered.py:4(<module>)
        1    0.000    0.000    0.000    0.000 wsgi.py:944(LimitedStream)
      153    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 collections.py:407(Counter)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        6    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
        2    0.000    0.000    0.000    0.000 pygram.py:22(__init__)
        1    0.000    0.000    0.000    0.000 wrappers.py:10(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:17(<module>)
        3    0.000    0.000    0.000    0.000 urls.py:489(url_unparse)
        1    0.000    0.000    0.000    0.000 routing.py:1243(bind_to_environ)
        2    0.000    0.000    0.000    0.000 posixpath.py:372(realpath)
        1    0.000    0.000    0.000    0.000 pkgutil.py:314(_get_delegate)
      255    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 db_builder.py:750(ranges_init)
      186    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 misc.py:10(<module>)
       23    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 degree_seq.py:3(<module>)
        1    0.000    0.000    0.000    0.000 flow_matrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 matchhelpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 newdict.py:17(<module>)
       39    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        1    0.000    0.000    0.000    0.000 config.py:10(<module>)
        1    0.000    0.000    0.000    0.000 bccache.py:117(BytecodeCache)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
        1    0.000    0.000    0.000    0.000 code.py:3(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        2    0.000    0.000    0.000    0.000 inspect.py:355(getdoc)
      594    0.000    0.000    0.000    0.000 {iter}
        1    0.000    0.000    0.000    0.000 newlist.py:13(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 pgen.py:5(<module>)
      106    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       68    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      655    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 _compat.py:78(normalize_string_tuple)
       16    0.000    0.000    0.000    0.000 load_xml_stream.py:12(load_properties)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
      247    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.000    0.000 routing.py:1329(update)
       19    0.000    0.000    0.000    0.000 _compat.py:198(to_unicode)
      257    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
        5    0.000    0.000    0.000    0.000 datastructures.py:62(wrap)
      118    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       60    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
      237    0.000    0.000    0.000    0.000 {next}
        1    0.000    0.000    0.000    0.000 pkgutil.py:441(get_loader)
        1    0.000    0.000    0.000    0.000 load_xml.py:2(<module>)
       24    0.000    0.000    0.000    0.000 argparse.py:1439(_get_handler)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        3    0.000    0.000    0.000    0.000 local.py:160(top)
        1    0.000    0.000    0.000    0.000 mixing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 backports_abc.py:122(mk_coroutine)
        2    0.000    0.000    0.000    0.000 posixpath.py:380(_joinrealpath)
        1    0.000    0.000    0.000    0.000 chordal_alg.py:8(<module>)
        1    0.000    0.000    0.000    0.000 betweenness.py:4(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:88(BaseRequest)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       22    0.000    0.000    0.000    0.000 argparse.py:765(__init__)
       19    0.000    0.000    0.000    0.000 datastructures.py:54(setmethod)
        3    0.000    0.000    0.000    0.000 decimal.py:3783(__init__)
        1    0.000    0.000    0.000    0.000 helpers.py:827(__init__)
        6    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idtracking.py:1(<module>)
       96    0.000    0.000    0.000    0.000 db_builder.py:897(parse_type)
        1    0.000    0.000    0.000    0.000 greedy_coloring_with_interchange.py:1(<module>)
       19    0.000    0.000    0.000    0.000 argparse.py:1435(_pop_action_class)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        9    0.000    0.000    0.000    0.000 compiler.py:1417(binop)
        1    0.000    0.000    0.000    0.000 pkgutil.py:466(find_loader)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        1    0.000    0.000    0.000    0.000 helpers.py:675(get_root_path)
       17    0.000    0.000    0.000    0.000 routing.py:181(parse_rule)
        1    0.000    0.000    0.000    0.000 weighted.py:4(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       27    0.000    0.000    0.000    0.000 lexer.py:146(<genexpr>)
        1    0.000    0.000    0.000    0.000 tempfile.py:18(<module>)
        3    0.000    0.000    0.000    0.000 urls.py:67(ascii_host)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:25(Markup)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        2    0.000    0.000    0.000    0.000 _compat.py:85(with_metaclass)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 geometric.py:4(<module>)
        1    0.000    0.000    0.000    0.000 templating.py:10(<module>)
        1    0.000    0.000    0.000    0.000 layout.py:12(<module>)
        5    0.000    0.000    0.000    0.000 routing.py:595(__init__)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       45    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 btm_matcher.py:6(<module>)
        2    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        2    0.000    0.000    0.000    0.000 _unicodefun.py:30(_check_for_unicode_literals)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 test.py:2(<module>)
        1    0.000    0.000    0.000    0.000 visitor.py:10(<module>)
      406    0.000    0.000    0.000    0.000 {globals}
        2    0.000    0.000    0.000    0.000 _compat.py:91(__new__)
       40    0.000    0.000    0.000    0.000 argparse.py:95(_callable)
        2    0.000    0.000    0.000    0.000 _unicodefun.py:15(_find_unicode_literals_frame)
        3    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 generators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 blueprints.py:11(<module>)
        1    0.000    0.000    0.000    0.000 backports_abc.py:95(mk_awaitable)
       72    0.000    0.000    0.000    0.000 db_builder.py:881(get)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 cli.py:300(__init__)
       41    0.000    0.000    0.000    0.000 argparse.py:1238(_registry_get)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        3    0.000    0.000    0.000    0.000 helpers.py:807(__init__)
        1    0.000    0.000    0.000    0.000 multidigraph.py:1(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:250(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2200(_get_values)
       36    0.000    0.000    0.000    0.000 argparse.py:1448(_check_conflict)
        6    0.000    0.000    0.000    0.000 argparse.py:865(__init__)
        4    0.000    0.000    0.000    0.000 core.py:748(__init__)
        1    0.000    0.000    0.000    0.000 filesystem.py:10(<module>)
        1    0.000    0.000    0.000    0.000 latin_1.py:8(<module>)
        1    0.000    0.000    0.000    0.000 digraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        1    0.000    0.000    0.000    0.000 newobject.py:38(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 {sorted}
        1    0.000    0.000    0.000    0.000 test.py:363(_set_base_url)
        2    0.000    0.000    0.000    0.000 urls.py:478(url_quote_plus)
        2    0.000    0.000    0.000    0.000 core.py:924(__init__)
        1    0.000    0.000    0.000    0.000 random_sequence.py:4(<module>)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
        1    0.000    0.000    0.000    0.000 snapshots.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grammar.py:100(copy)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 test.py:408(_set_content_length)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       17    0.000    0.000    0.000    0.000 utils.py:83(internalcode)
        3    0.000    0.000    0.000    0.000 urls.py:82(port)
        1    0.000    0.000    0.000    0.000 routing.py:1202(bind)
        1    0.000    0.000    0.000    0.000 argparse.py:1033(__init__)
        2    0.000    0.000    0.000    0.000 driver.py:137(_newer)
        4    0.000    0.000    0.000    0.000 uuid.py:103(__init__)
        1    0.000    0.000    0.000    0.000 formatting.py:89(HelpFormatter)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
       12    0.000    0.000    0.000    0.000 _compat.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
       75    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 ssl.py:305(__new__)
       31    0.000    0.000    0.000    0.000 _compat.py:114(to_native)
        7    0.000    0.000    0.000    0.000 local.py:68(__getattr__)
       10    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        1    0.000    0.000    0.000    0.000 testing.py:40(FlaskClient)
       18    0.000    0.000    0.000    0.000 argparse.py:566(format)
        8    0.000    0.000    0.000    0.000 argparse.py:842(__init__)
        1    0.000    0.000    0.000    0.000 routing.py:479(Rule)
        1    0.000    0.000    0.000    0.000 termui.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 gexf.py:164(GEXF)
        1    0.000    0.000    0.000    0.000 argparse.py:280(format_help)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 environment.py:113(Environment)
        5    0.000    0.000    0.000    0.000 threading.py:114(RLock)
        3    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 convert.py:17(<module>)
        1    0.000    0.000    0.000    0.000 test.py:212(EnvironBuilder)
        1    0.000    0.000    0.000    0.000 helpers.py:825(_PackageBoundObject)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heaps.py:149(PairingHeap)
        1    0.000    0.000    0.000    0.000 misc.py:91(OrderedDict)
        1    0.000    0.000    0.000    0.000 ssl.py:129(<dictcomp>)
        1    0.000    0.000    0.000    0.000 datastructures.py:1074(pop)
        1    0.000    0.000    0.000    0.000 multigraph.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 exceptions.py:92(wrap)
       16    0.000    0.000    0.000    0.000 _compat.py:182(isidentifier)
        1    0.000    0.000    0.000    0.000 ctx.py:182(pop)
        6    0.000    0.000    0.000    0.000 urls.py:263(_split_host)
        1    0.000    0.000    0.000    0.000 commands.py:352(get_options)
        6    0.000    0.000    0.000    0.000 argparse.py:807(__init__)
        1    0.000    0.000    0.000    0.000 ctx.py:174(push)
        1    0.000    0.000    0.000    0.000 release.py:119(get_revision)
        3    0.000    0.000    0.000    0.000 datastructures.py:924(__getitem__)
        2    0.000    0.000    0.000    0.000 local.py:139(push)
       40    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
        1    0.000    0.000    0.000    0.000 depth_first_search.py:10(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 graphml.py:199(GraphML)
        3    0.000    0.000    0.000    0.000 urls.py:59(host)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 __init__.py:341(set_defaults)
        1    0.000    0.000    0.000    0.000 btm_utils.py:1(<module>)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        8    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
       33    0.000    0.000    0.000    0.000 utils.py:59(__init__)
        1    0.000    0.000    0.000    0.000 optimizer.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1025(getLogger)
        1    0.000    0.000    0.000    0.000 polynomial.py:1606(Polynomial)
        6    0.000    0.000    0.000    0.000 posixpath.py:132(islink)
        1    0.000    0.000    0.000    0.000 _elementpath.py:56(<module>)
        1    0.000    0.000    0.000    0.000 random_graphs.py:5(<module>)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.000    0.000    0.000    0.000 globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:814(__get__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 test.py:458(_get_query_string)
        1    0.000    0.000    0.000    0.000 __init__.py:91(add_default_commands)
        1    0.000    0.000    0.000    0.000 matching.py:43(<module>)
        1    0.000    0.000    0.000    0.000 heaps.py:17(MinHeap)
       17    0.000    0.000    0.000    0.000 __init__.py:170(make_simple_escaping_wrapper)
        1    0.000    0.000    0.000    0.000 numerictypes.py:379(_set_up_aliases)
        4    0.000    0.000    0.000    0.000 argparse.py:983(__init__)
       39    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 routing.py:1356(__init__)
       88    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 connectivity.py:7(<module>)
      163    0.000    0.000    0.000    0.000 decorator.py:111(<lambda>)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        5    0.000    0.000    0.000    0.000 threading.py:132(__init__)
       54    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        9    0.000    0.000    0.000    0.000 core.py:2526(_arraymethod)
        1    0.000    0.000    0.000    0.000 urls.py:793(url_encode)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 cluster.py:2(<module>)
        2    0.000    0.000    0.000    0.000 db_builder.py:756(aggregate_states_fields)
       73    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 runtime.py:130(Context)
        3    0.000    0.000    0.000    0.000 routing.py:1316(_get_wsgi_string)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        2    0.000    0.000    0.000    0.000 test.py:510(close)
        1    0.000    0.000    0.000    0.000 utils.py:114(HTMLBuilder)
        2    0.000    0.000    0.000    0.000 local.py:147(pop)
        1    0.000    0.000    0.000    0.000 all.py:2(<module>)
       13    0.000    0.000    0.000    0.000 datastructures.py:1802(cache_property)
        1    0.000    0.000    0.000    0.000 contextmanagers.py:1(<module>)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:827(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:40(literal_eval)
        1    0.000    0.000    0.000    0.000 handler.py:10(<module>)
        1    0.000    0.000    0.000    0.000 kclique.py:7(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:2686(seterr)
        1    0.000    0.000    0.000    0.000 harmonic.py:3(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:233(add_command)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 routing.py:744(match)
       22    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 ssl.py:514(SSLSocket)
        1    0.000    0.000    0.000    0.000 _compat.py:58(native_string_result)
        1    0.000    0.000    0.000    0.000 redundancy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:21(<module>)
        1    0.000    0.000    0.000    0.000 cluster.py:7(<module>)
        7    0.000    0.000    0.000    0.000 types.py:477(convert_type)
        4    0.000    0.000    0.000    0.000 argparse.py:2252(_get_value)
       12    0.000    0.000    0.000    0.000 urls.py:250(_split_netloc)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       14    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
       19    0.000    0.000    0.000    0.000 argparse.py:199(__init__)
        6    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:12(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        2    0.000    0.000    0.000    0.000 {imp.find_module}
        1    0.000    0.000    0.000    0.000 __init__.py:665(__init__)
       87    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 formparser.py:113(FormDataParser)
        1    0.000    0.000    0.000    0.000 mst.py:5(<module>)
        1    0.000    0.000    0.000    0.000 triads.py:12(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 routing.py:683(get_converter)
        1    0.000    0.000    0.000    0.000 hybrid.py:6(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:45(make_default_short_help)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 argparse.py:147(HelpFormatter)
        1    0.000    0.000    0.000    0.000 nx_pylab.py:15(<module>)
        2    0.000    0.000    0.000    0.000 db_builder.py:512(aggregate_properties_fields)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 argparse.py:205(format_help)
        1    0.000    0.000    0.000    0.000 numeric.py:3083(__enter__)
        1    0.000    0.000    0.000    0.000 closeness.py:3(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        2    0.000    0.000    0.000    0.000 datastructures.py:31(iter_multi_items)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
        1    0.000    0.000    0.000    0.000 mis.py:6(<module>)
        1    0.000    0.000    0.000    0.000 routing.py:1132(__init__)
        1    0.000    0.000    0.000    0.000 app.py:926(make_null_session)
        1    0.000    0.000    0.000    0.000 small.py:5(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 pickle.py:833(Unpickler)
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 formparser.py:95(exhaust_stream)
        3    0.000    0.000    0.000    0.000 compiler.py:1434(uaop)
        1    0.000    0.000    0.000    0.000 __init__.py:372(__getattr__)
        1    0.000    0.000    0.000    0.000 urls.py:379(_url_encode_impl)
       26    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       18    0.000    0.000    0.000    0.000 argparse.py:557(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:43(Manager)
        5    0.000    0.000    0.000    0.000 routing.py:1340(<lambda>)
        3    0.000    0.000    0.000    0.000 argparse.py:1029(__init__)
        2    0.000    0.000    0.000    0.000 os.py:496(__delitem__)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:36(getregentry)
        1    0.000    0.000    0.000    0.000 genericpath.py:46(isdir)
        1    0.000    0.000    0.000    0.000 _unicodefun.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sessions.py:181(make_null_session)
        1    0.000    0.000    0.000    0.000 datastructures.py:2433(WWWAuthenticate)
       20    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        3    0.000    0.000    0.000    0.000 _compat.py:611(_make_cached_stream_func)
        5    0.000    0.000    0.000    0.000 weakref.py:297(__init__)
        1    0.000    0.000    0.000    0.000 wrappers.py:383(close)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
        8    0.000    0.000    0.000    0.000 string.py:473(expandtabs)
        2    0.000    0.000    0.000    0.000 utils.py:313(__init__)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:48(group)
        1    0.000    0.000    0.000    0.000 graph_builder.py:60(set_nparts)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 wrappers.py:1563(CommonRequestDescriptorsMixin)
        1    0.000    0.000    0.000    0.000 wrappers.py:654(BaseResponse)
